2473ae0777fa8e2d5c61e192908dbf3e535a03e6    10.1016/S1388-9842(03)00042-4   12798825
330a816dfa93ba2299ff5414e8ca4e4d1dff823b    10.1016/j.ijcard.2013.05.068    23796325
38c78c671c37a1a9b4cf0aad440c8aae82d4a780    10.1016/j.jchf.2012.09.002  24621795
3ddaca7ad2ed254d6700af72019e7467ed4ca985    10.2165/00003495-200262180-00017    12466013
3ef86ced87fa7747e861330ce5411708ce3af192    10.1016/j.amjcard.2012.11.031   23290925
43c7d325bad84ecf3e81c42b8a9ed19ab1222cfb    10.1136/bmj.f55 23325883
5883e1f3fdf9fe08d510e781d9b78e43e78c0b5d    10.1016/j.amjcard.2015.01.545   25708861
5dcedb0d22f83f12ab4e7ba59573785a555f8139    10.1111/j.1365-2125.2007.03010.x    17764473
87703cd380ca2a255020644b2460917013357145    10.1371/journal.pone.0090555    24599093
8c54d4235db40f486f275bc1ae36e800c8a3b433    10.1016/S1388-9842%2801%2900144-1   11378007
957e79d0db8799a8342a3ea9918777ac79566f5e    10.1186/1471-2261-13-52 23848972
9a1b92c764a15069be2eb4894e4283d9fb60faf2    10.1016/j.jacc.2010.10.057  21492765
a8f7dd5d87f7e6b8a6257567e096db0bbaed388f    10.1016/j.ejheart.2005.10.012   16376611
ada99de31ab57a1609db99b80064dccd2981878d    10.1001/archinte.164.13.1389    15249347
ba9860696d9bf958d68ba32636f6275cdd59e34e    10.1007/s10741-014-9453-8   25034701
e1df7cc342dd1f860528da95cf10a3207c4e2e5b    10.1002/pds.1234    16555368
e3cd9f87650bb1e206132d6e99aa0e9647c6d0bd    10.1002/clc.21985   22488122
e65d6d3850abe5799a935cd11270b928f159e4cc    10.1016/S0735-1097%2897%2900104-6   9207617
5839b15739664a469b49b3c0b65310ac7066cbb5        10724047
6b9237976076c3a85c1e33eb48ed3768264d2b97        9743509
91c06ff933d1620c28c8f88a2e75e4683961d1b7        11281737
8f161c22a09214e07d91fe7ad576425552b15cb3        19841485
99829e69e7213d254897f2e73537d34239d67058        9129883
9da8a36f2d683ace6172d4894f44765f439de0b4        9731693
247c58128f39ea76736f66dc6cece22d5c74acfe        19487713
